name,playcount,listeners,mbid,url,streamable,tags
Led Zeppelin,206404718,3183240,d6e0e274-8e19-44ce-b5b2-52c12f8a674a,https://www.last.fm/music/Led+Zeppelin,0,"classic rock, rock, hard rock"
The White Stripes,135006092,3176510,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,https://www.last.fm/music/The+White+Stripes,0,"rock, alternative, alternative rock"
Adele,140857654,3156538,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,https://www.last.fm/music/Adele,0,"soul, female vocalists, british"
Snow Patrol,92812835,3124861,a66999a7-ae5c-460e-ba94-1a01143ae847,https://www.last.fm/music/Snow+Patrol,0,"indie, alternative, rock"
Metallica,304492407,3110692,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,https://www.last.fm/music/Metallica,0,"thrash metal, metal, heavy metal"
MGMT,111089827,3104952,c485632c-b784-4ee9-8ea1-c5fb365681fc,https://www.last.fm/music/MGMT,0,"electronic, indie, psychedelic"
Aerosmith,78108065,3099351,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,https://www.last.fm/music/Aerosmith,0,"rock, classic rock, hard rock"
Justin Timberlake,81247106,3094652,596ffa74-3d08-44ef-b113-765d43d12738,https://www.last.fm/music/Justin+Timberlake,0,"pop, rnb, dance"
Beck,109664416,3093175,a8baaa41-50f1-4f63-979e-717c14979dfb,https://www.last.fm/music/Beck,0,"alternative, indie, rock"
David Guetta,98971590,3092546,302bd7b9-d012-4360-897a-93b00c855680,https://www.last.fm/music/David+Guetta,0,"House, dance, electronic"
Blur,99006491,3079262,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,https://www.last.fm/music/Blur,0,"britpop, rock, indie"
R.E.M.,102228049,3078965,ea4dfa26-f633-4da6-a52a-f49ea4897b58,https://www.last.fm/music/R.E.M.,0,"rock, alternative rock, alternative"
The Offspring,132522698,3073349,23a03e33-a603-404e-bcbf-2c00159d7067,https://www.last.fm/music/The+Offspring,0,"punk rock, punk, rock"
Rage Against the Machine,99287213,3016902,3798b104-01cb-484c-a3b0-56adc6399b80,https://www.last.fm/music/Rage+Against+the+Machine,0,"rock, alternative rock, alternative"
Fall Out Boy,165114076,3013218,516cef4d-0718-4007-9939-f9b38af3f784,https://www.last.fm/music/Fall+Out+Boy,0,"pop punk, rock, emo"
The Smashing Pumpkins,138177492,3011757,ba0d6274-db14-4ef5-b28d-657ebde1a396,https://www.last.fm/music/The+Smashing+Pumpkins,0,"alternative rock, rock, alternative"
Christina Aguilera,138379275,2991052,b202beb7-99bd-47e7-8b72-195c8d72ebdd,https://www.last.fm/music/Christina+Aguilera,0,"pop, female vocalists, soul"
Johnny Cash,112728495,2979633,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,https://www.last.fm/music/Johnny+Cash,0,"country, folk, singer-songwriter"
Death Cab for Cutie,175472894,2978176,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,https://www.last.fm/music/Death+Cab+for+Cutie,0,"indie, indie rock, alternative"
Nickelback,88519243,2972222,bc710bcf-8815-42cf-bad2-3f1d12246aeb,https://www.last.fm/music/Nickelback,0,"rock, alternative rock, hard rock"
The Who,79697113,2947008,f2fa2f0c-b6d7-4d09-be35-910c110bb342,https://www.last.fm/music/The+Who,0,"classic rock, rock, british"
AC/DC,147233427,2933720,66c662b6-6e2f-4930-8610-912e24c63ed1,https://www.last.fm/music/AC%2FDC,0,"hard rock, classic rock, rock"
Jimi Hendrix,80964127,2926644,06fb1c8b-566e-4cb2-985b-b467c90781d4,https://www.last.fm/music/Jimi+Hendrix,0,"classic rock, rock, blues"
Avril Lavigne,129342725,2909676,0103c1cc-4a09-4a5d-a344-56ad99a77193,https://www.last.fm/music/Avril+Lavigne,0,"pop, pop rock, rock"
Usher,43489773,2901556,3414d446-735a-443c-931f-10634f57e5b9,https://www.last.fm/music/Usher,0,"rnb, Hip-Hop, pop"
Chris Brown,58117318,2901242,c234fa42-e6a6-443e-937e-2f4b073538a3,https://www.last.fm/music/Chris+Brown,0,"rnb, Hip-Hop, Chris Brown"
Pearl Jam,157504702,2890509,83b9cbe7-9857-49e2-ab8e-b57b01038103,https://www.last.fm/music/Pearl+Jam,0,"Grunge, rock, alternative rock"
Depeche Mode,179941469,2873293,8538e728-ca0b-4321-b7e5-cff6565dd4c0,https://www.last.fm/music/Depeche+Mode,0,"electronic, new wave, 80s"
50 Cent,44782958,2864713,8e68819d-71be-4e7d-b41d-f1df81b01d3f,https://www.last.fm/music/50+Cent,0,"rap, Hip-Hop, Gangsta Rap"
Bob Dylan,170030885,2861791,72c536dc-7137-4477-a521-567eeb840fa8,https://www.last.fm/music/Bob+Dylan,0,"folk, singer-songwriter, classic rock"
Elton John,63341688,2819672,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,https://www.last.fm/music/Elton+John,0,"pop, classic rock, singer-songwriter"
Kid Cudi,100340650,2814918,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,https://www.last.fm/music/Kid+Cudi,0,"Hip-Hop, rap, alternative rap"
OutKast,59097738,2795502,73fdb566-a9b1-494c-9f32-51768ec9fd27,https://www.last.fm/music/OutKast,0,"Hip-Hop, rap, funk"
The Kooks,116873090,2795100,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,https://www.last.fm/music/The+Kooks,0,"indie, indie rock, british"
Paramore,210620508,2791547,728ea90d-279b-4201-a8c4-597830883150,https://www.last.fm/music/Paramore,0,"rock, pop punk, alternative"
Mariah Carey,104511715,2784166,494e8d09-f85b-4543-892f-a5096aed1cd4,https://www.last.fm/music/Mariah+Carey,0,"pop, rnb, female vocalists"
Moby,99922152,2777386,8970d868-0723-483b-a75b-51088913d3d4,https://www.last.fm/music/Moby,0,"electronic, ambient, chillout"
P!nk,78216121,2739286,f4d5cc07-3bc9-4836-9b15-88a08359bc63,https://www.last.fm/music/P%21nk,0,"pop, pop rock, female vocalists"
Placebo,196798962,2738915,979a39b4-2df9-4767-a3ca-7940e8aff05a,https://www.last.fm/music/Placebo,0,"alternative rock, alternative, rock"
Arcade Fire,196068806,2733526,52074ba6-e495-4ef3-9bb4-0703888a9f68,https://www.last.fm/music/Arcade+Fire,0,"indie, indie rock, alternative"
Snoop Dogg,43919634,2728613,f90e8b26-9e52-4669-a5c9-e28529c47894,https://www.last.fm/music/Snoop+Dogg,0,"Hip-Hop, rap, Gangsta Rap"
Amy Winehouse,103559482,2727240,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,https://www.last.fm/music/Amy+Winehouse,0,"soul, jazz, female vocalists"
Taylor Swift,377574059,2722979,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,0,"country, pop, female vocalists"
Massive Attack,125381233,2699721,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,https://www.last.fm/music/Massive+Attack,0,"trip-hop, electronic, chillout"
Incubus,115771384,2694429,e3e0abcd-7671-4482-a9d8-462f5acc9be5,https://www.last.fm/music/Incubus,0,"alternative rock, rock, alternative"
Jack Johnson,120618139,2679753,ff6e677f-91dd-4986-a174-8db0474b1799,https://www.last.fm/music/Jack+Johnson,0,"acoustic, singer-songwriter, chill"
Kelly Clarkson,70720772,2676837,d339efbb-77b9-4147-ba9e-59f2f24550b2,https://www.last.fm/music/Kelly+Clarkson,0,"pop, female vocalists, pop rock"
Korn,140665012,2673302,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,https://www.last.fm/music/Korn,0,"Nu Metal, metal, alternative"
The Beach Boys,81760237,2669111,ebfc1398-8d96-47e3-82c3-f782abcdb13d,https://www.last.fm/music/The+Beach+Boys,0,"classic rock, 60s, pop"
Frank Sinatra,76388338,2652103,197450cd-0124-4164-b723-3c22dd16494d,https://www.last.fm/music/Frank+Sinatra,0,"jazz, swing, oldies"
John Mayer,122541674,2651151,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,https://www.last.fm/music/John+Mayer,0,"singer-songwriter, acoustic, rock"
Black Sabbath,112414735,2642456,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://www.last.fm/music/Black+Sabbath,0,"heavy metal, hard rock, classic rock"
