Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1612931340000,2021-02-10 04:29:00,BTCUSD,45964.4,46020.92,45903.84,45954.22,2.62822118
1612931280000,2021-02-10 04:28:00,BTCUSD,45999.11,46002.58,45925.84,45964.4,1.2643202598
1612931220000,2021-02-10 04:27:00,BTCUSD,45877.65,46000.97,45877.65,45999.11,0.8449864904
1612931160000,2021-02-10 04:26:00,BTCUSD,45901.93,45944.25,45877.65,45877.65,0.474967279
1612931100000,2021-02-10 04:25:00,BTCUSD,45950.55,45968.17,45895.5,45901.93,0.218784714
1612931040000,2021-02-10 04:24:00,BTCUSD,45878.29,45965.17,45878.29,45950.55,0.196741602
1612930980000,2021-02-10 04:23:00,BTCUSD,45999.56,46021.03,45868.23,45878.29,5.5033580062
1612930920000,2021-02-10 04:22:00,BTCUSD,45851.52,46021.04,45834.02,45999.56,4.3832176004
1612930860000,2021-02-10 04:21:00,BTCUSD,45804.84,45864.8,45773.2,45851.52,0.20153262
1612930800000,2021-02-10 04:20:00,BTCUSD,45839.26,45844.28,45773.02,45804.84,0.2656558592
1612930740000,2021-02-10 04:19:00,BTCUSD,45841.05,45868.95,45780.84,45839.26,2.5176146362
1612930680000,2021-02-10 04:18:00,BTCUSD,45865.47,45879.65,45782.64,45841.05,0.8854661512
1612930620000,2021-02-10 04:17:00,BTCUSD,45827.46,45865.92,45772.08,45865.47,0.622570876
1612930560000,2021-02-10 04:16:00,BTCUSD,45722.13,45905.64,45722.13,45827.46,1.9552780216
1612930500000,2021-02-10 04:15:00,BTCUSD,45707.06,45793.97,45670.75,45722.13,1.30047148
1612930440000,2021-02-10 04:14:00,BTCUSD,45802.62,45804.45,45655.68,45707.06,1.1405783321
1612930380000,2021-02-10 04:13:00,BTCUSD,45770.0,45880.01,45701.12,45802.62,7.5900311903
1612930320000,2021-02-10 04:12:00,BTCUSD,45857.47,45859.82,45770.0,45770.0,6.9253975405
1612930260000,2021-02-10 04:11:00,BTCUSD,45854.77,45966.48,45812.57,45857.47,2.2215574152
1612930200000,2021-02-10 04:10:00,BTCUSD,45932.5,45964.04,45812.57,45854.77,5.1482188472
1612930140000,2021-02-10 04:09:00,BTCUSD,45889.66,45932.5,45859.48,45932.5,0.3252332674
1612930080000,2021-02-10 04:08:00,BTCUSD,45954.19,45994.29,45889.66,45889.66,0.8018086237
1612930020000,2021-02-10 04:07:00,BTCUSD,45885.05,45973.27,45812.57,45954.19,3.2523906457
1612929960000,2021-02-10 04:06:00,BTCUSD,45939.29,46028.52,45874.67,45885.05,1.6101207827
1612929900000,2021-02-10 04:05:00,BTCUSD,46099.94,46099.94,45830.94,45939.29,29.0063078894
1612929840000,2021-02-10 04:04:00,BTCUSD,46102.12,46178.15,46066.89,46099.94,0.3684968614
1612929780000,2021-02-10 04:03:00,BTCUSD,46144.26,46223.29,46102.12,46102.12,0.9639952846
1612929720000,2021-02-10 04:02:00,BTCUSD,46283.81,46283.81,46094.99,46144.26,5.01740754
1612929660000,2021-02-10 04:01:00,BTCUSD,46283.81,46384.13,46283.81,46283.81,1.9697339775
1612929600000,2021-02-10 04:00:00,BTCUSD,46309.88,46315.03,46271.6,46283.81,1.88089577
1612929540000,2021-02-10 03:59:00,BTCUSD,46299.52,46329.66,46278.92,46309.88,0.0688402671
1612929480000,2021-02-10 03:58:00,BTCUSD,46286.01,46326.7,46275.24,46299.52,0.9188858053
1612929420000,2021-02-10 03:57:00,BTCUSD,46285.65,46311.01,46207.16,46286.01,2.2119599898
1612929360000,2021-02-10 03:56:00,BTCUSD,46279.26,46286.55,46247.41,46285.65,0.0605561586
1612929300000,2021-02-10 03:55:00,BTCUSD,46307.85,46362.45,46226.66,46279.26,5.0089628949
1612929240000,2021-02-10 03:54:00,BTCUSD,46426.96,46440.71,46307.6,46307.85,0.3880963793
1612929180000,2021-02-10 03:53:00,BTCUSD,46487.76,46500.0,46426.96,46426.96,1.2308616079
1612929120000,2021-02-10 03:52:00,BTCUSD,46372.18,46487.76,46372.18,46487.76,1.162569064
1612929060000,2021-02-10 03:51:00,BTCUSD,46399.99,46399.99,46372.18,46372.18,0.47845898
1612929000000,2021-02-10 03:50:00,BTCUSD,46372.51,46399.99,46348.04,46399.99,0.1380366531
1612928940000,2021-02-10 03:49:00,BTCUSD,46395.58,46397.29,46319.88,46372.51,0.1917821487
1612928880000,2021-02-10 03:48:00,BTCUSD,46308.79,46395.58,46308.79,46395.58,0.29528321
1612928820000,2021-02-10 03:47:00,BTCUSD,46311.09,46313.41,46260.0,46308.79,0.07161798
1612928760000,2021-02-10 03:46:00,BTCUSD,46333.98,46379.62,46311.09,46311.09,0.2292788521
1612928700000,2021-02-10 03:45:00,BTCUSD,46369.87,46397.63,46333.98,46333.98,0.5852851338
1612928640000,2021-02-10 03:44:00,BTCUSD,46364.55,46371.02,46331.28,46369.87,3.3266164851
1612928580000,2021-02-10 03:43:00,BTCUSD,46331.28,46397.67,46313.41,46364.55,2.6265149721
1612928520000,2021-02-10 03:42:00,BTCUSD,46358.77,46371.27,46315.23,46331.28,0.12981517
1612928460000,2021-02-10 03:41:00,BTCUSD,46389.18,46395.3,46347.18,46358.77,2.12053276
1612928400000,2021-02-10 03:40:00,BTCUSD,46374.84,46423.94,46365.24,46389.18,0.1731626
1612928340000,2021-02-10 03:39:00,BTCUSD,46342.06,46415.59,46261.13,46374.84,1.9296192514
1612928280000,2021-02-10 03:38:00,BTCUSD,46390.05,46390.05,46309.0,46342.06,0.548734
1612928220000,2021-02-10 03:37:00,BTCUSD,46417.71,46438.14,46357.36,46390.05,0.09857863
1612928160000,2021-02-10 03:36:00,BTCUSD,46368.79,46429.33,46350.82,46417.71,2.83748429
1612928100000,2021-02-10 03:35:00,BTCUSD,46375.08,46380.78,46352.44,46368.79,0.02488417
1612928040000,2021-02-10 03:34:00,BTCUSD,46385.33,46463.05,46343.99,46375.08,2.2733064
1612927980000,2021-02-10 03:33:00,BTCUSD,46394.24,46407.98,46362.92,46385.33,2.28748327
1612927920000,2021-02-10 03:32:00,BTCUSD,46412.07,46476.78,46383.0,46394.24,0.2428919191
1612927860000,2021-02-10 03:31:00,BTCUSD,46461.48,46461.48,46383.0,46412.07,0.16889294
1612927800000,2021-02-10 03:30:00,BTCUSD,46500.0,46528.25,46456.28,46461.48,0.9081036821
1612927740000,2021-02-10 03:29:00,BTCUSD,46579.24,46579.24,46500.0,46500.0,0.08119139
1612927680000,2021-02-10 03:28:00,BTCUSD,46579.24,46607.53,46556.22,46579.24,0.24662883
